"","Returned","Order ID","Row ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","Country/Region","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit"
"1",1,"CA-2018-100762",6315,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-AR-10000380","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener, Blue",151.92,4,0,45.576
"2",1,"CA-2018-100762",6316,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-LA-10003930","Office Supplies","Labels","Dot Matrix Printer Tape Reel Labels, White, 5000/Box",196.62,2,0,96.3438
"3",1,"CA-2018-100762",6317,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-PA-10001815","Office Supplies","Paper","Xerox 1885",144.12,3,0,69.1776
"4",1,"CA-2018-100762",6318,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-PA-10004082","Office Supplies","Paper","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",15.96,2,0,7.98
"5",1,"CA-2018-100762",6315,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-AR-10000380","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener, Blue",151.92,4,0,45.576
"6",1,"CA-2018-100762",6316,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-LA-10003930","Office Supplies","Labels","Dot Matrix Printer Tape Reel Labels, White, 5000/Box",196.62,2,0,96.3438
"7",1,"CA-2018-100762",6317,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-PA-10001815","Office Supplies","Paper","Xerox 1885",144.12,3,0,69.1776
"8",1,"CA-2018-100762",6318,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-PA-10004082","Office Supplies","Paper","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",15.96,2,0,7.98
"9",1,"CA-2018-100762",6315,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-AR-10000380","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener, Blue",151.92,4,0,45.576
"10",1,"CA-2018-100762",6316,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-LA-10003930","Office Supplies","Labels","Dot Matrix Printer Tape Reel Labels, White, 5000/Box",196.62,2,0,96.3438
"11",1,"CA-2018-100762",6317,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-PA-10001815","Office Supplies","Paper","Xerox 1885",144.12,3,0,69.1776
"12",1,"CA-2018-100762",6318,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-PA-10004082","Office Supplies","Paper","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",15.96,2,0,7.98
"13",1,"CA-2018-100762",6315,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-AR-10000380","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener, Blue",151.92,4,0,45.576
"14",1,"CA-2018-100762",6316,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-LA-10003930","Office Supplies","Labels","Dot Matrix Printer Tape Reel Labels, White, 5000/Box",196.62,2,0,96.3438
"15",1,"CA-2018-100762",6317,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-PA-10001815","Office Supplies","Paper","Xerox 1885",144.12,3,0,69.1776
"16",1,"CA-2018-100762",6318,2018-11-24,2018-11-29,"Standard Class","NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan",49201,"Central","OFF-PA-10004082","Office Supplies","Paper","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",15.96,2,0,7.98
"17",1,"CA-2018-100867",9462,2018-10-19,2018-10-24,"Standard Class","EH-14125","Eugene Hildebrand","Home Office","United States","Lakewood","California",90712,"West","TEC-PH-10004922","Technology","Phones","RCA Visys Integrated PBX 8-Line Router",321.552,6,0.2,20.097
"18",1,"CA-2018-102652",6016,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","FUR-FU-10000747","Furniture","Furnishings","Tenex B1-RE Series Chair Mats for Low Pile Carpets",91.96,2,0,15.6332
"19",1,"CA-2018-102652",6017,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","FUR-FU-10001918","Furniture","Furnishings","C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",33.11,7,0,12.9129
"20",1,"CA-2018-102652",6018,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","OFF-PA-10003309","Office Supplies","Paper","Xerox 211",19.44,3,0,9.3312
"21",1,"CA-2018-102652",6019,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","OFF-PA-10001977","Office Supplies","Paper","Xerox 194",55.48,1,0,26.6304
"22",1,"CA-2018-102652",6016,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","FUR-FU-10000747","Furniture","Furnishings","Tenex B1-RE Series Chair Mats for Low Pile Carpets",91.96,2,0,15.6332
"23",1,"CA-2018-102652",6017,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","FUR-FU-10001918","Furniture","Furnishings","C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",33.11,7,0,12.9129
"24",1,"CA-2018-102652",6018,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","OFF-PA-10003309","Office Supplies","Paper","Xerox 211",19.44,3,0,9.3312
"25",1,"CA-2018-102652",6019,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","OFF-PA-10001977","Office Supplies","Paper","Xerox 194",55.48,1,0,26.6304
"26",1,"CA-2018-102652",6016,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","FUR-FU-10000747","Furniture","Furnishings","Tenex B1-RE Series Chair Mats for Low Pile Carpets",91.96,2,0,15.6332
"27",1,"CA-2018-102652",6017,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","FUR-FU-10001918","Furniture","Furnishings","C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",33.11,7,0,12.9129
"28",1,"CA-2018-102652",6018,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","OFF-PA-10003309","Office Supplies","Paper","Xerox 211",19.44,3,0,9.3312
"29",1,"CA-2018-102652",6019,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","OFF-PA-10001977","Office Supplies","Paper","Xerox 194",55.48,1,0,26.6304
"30",1,"CA-2018-102652",6016,2018-04-06,2018-04-12,"Standard Class","AY-10555","Andy Yotov","Corporate","United States","Los Angeles","California",90049,"West","FUR-FU-10000747","Furniture","Furnishings","Tenex B1-RE Series Chair Mats for Low Pile Carpets",91.96,2,0,15.6332
